,women_year,men_year,w_total,w_winner,m_total,m_winner
0,1991,1990,0.0,0.0,54.0,3.5
1,1995,1994,0.0,0.0,71.0,4.0
2,1999,1998,0.0,0.0,103.0,6.0
3,2003,2002,0.0,0.0,156.5,8.0
4,2007,2006,5.8,1.0,266.0,20.0
5,2011,2010,7.5,1.0,420.0,30.0
6,2015,2014,15.0,2.0,576.0,35.0
7,2019,2018,30.0,4.0,791.0,38.0
8,2023,2022,110.0,10.5,1000.0,45.0
